Date/Time,Sun radiation,Wind speed,Temperature,Sky code,Type
2020-04-01T01:00:00.000+03:00,0,3.1,19.7,FEW,Actual
2020-04-01T02:00:00.000+03:00,0,3.4,19.4,FEW,Actual
2020-04-01T03:00:00.000+03:00,0,2.9,19,R,Actual
2020-04-01T04:00:00.000+03:00,0,2.5,18.7,R,Actual
2020-04-01T05:00:00.000+03:00,0,3,18.4,R,Actual
2020-04-01T06:00:00.000+03:00,0,3.1,18,FEW,Actual
2020-04-01T07:00:00.000+03:00,1,2.7,19.3,FEW,Actual
2020-04-01T08:00:00.000+03:00,38,2.3,20.2,FEW,Actual
2020-04-01T09:00:00.000+03:00,150.4,2.5,22,FEW,Actual
2020-04-01T10:00:00.000+03:00,380.2,2.4,23.7,FEW,Actual
2020-04-01T11:00:00.000+03:00,523.8,1.7,24.8,FEW,Actual
2020-04-01T12:00:00.000+03:00,767.6,1.4,27,SCT,Actual
2020-04-01T13:00:00.000+03:00,867.9,2.4,27.3,SCT,Actual
2020-04-01T14:00:00.000+03:00,645.4,4,27.6,SCT,Actual
2020-04-01T15:00:00.000+03:00,705,2.8,28,SCT,Actual
2020-04-01T16:00:00.000+03:00,631.8,3,27.7,SCT,Actual
2020-04-01T17:00:00.000+03:00,163.5,2.5,27.4,SCT,Actual
2020-04-01T18:00:00.000+03:00,316.3,1.5,27,R,Actual
2020-04-01T19:00:00.000+03:00,140.6,1.6,25.3,R,Actual
2020-04-01T20:00:00.000+03:00,48.3,2.2,24.2,R,Actual
2020-04-01T21:00:00.000+03:00,3.9,1.9,22,R,Actual
2020-04-01T22:00:00.000+03:00,0,0.8,21.3,R,Actual
2020-04-01T23:00:00.000+03:00,0,1.1,20.9,R,Actual
2020-04-02T00:00:00.000+03:00,0,1.1,20,FEW,Actual
2020-04-02T01:00:00.000+03:00,0,1.1,19.3,FEW,Actual
2020-04-02T02:00:00.000+03:00,0,1.2,18.9,FEW,Actual
2020-04-02T03:00:00.000+03:00,0,1.4,18,FEW,Actual
2020-04-02T04:00:00.000+03:00,0,1.5,17.7,FEW,Actual
2020-04-02T05:00:00.000+03:00,0,1.9,17.4,FEW,Actual
2020-04-02T06:00:00.000+03:00,0,2.2,17,CLR,Actual
2020-04-02T07:00:00.000+03:00,1.7,2.3,18.7,CLR,Actual
2020-04-02T08:00:00.000+03:00,49.4,1.9,19.8,CLR,Actual
2020-04-02T09:00:00.000+03:00,136.2,2.2,22,FEW,Actual
2020-04-02T10:00:00.000+03:00,444.3,2.1,23.7,FEW,Actual
2020-04-02T11:00:00.000+03:00,635.8,1.3,24.8,FEW,Actual
2020-04-02T12:00:00.000+03:00,737.7,0.8,27,R,Actual
2020-04-02T13:00:00.000+03:00,763,0.9,27.7,R,Actual
2020-04-02T14:00:00.000+03:00,853.5,0.8,28.1,R,Actual
2020-04-02T15:00:00.000+03:00,857.9,1.3,29,R,Actual
2020-04-02T16:00:00.000+03:00,785.3,1,29,R,Actual
2020-04-02T17:00:00.000+03:00,540.5,2,29,R,Actual
2020-04-02T18:00:00.000+03:00,438,2.7,29,R,Actual
2020-04-02T19:00:00.000+03:00,292.2,4.1,27.3,R,Actual
2020-04-02T20:00:00.000+03:00,112.1,4.4,26.2,R,Actual
2020-04-02T21:00:00.000+03:00,3.8,2.5,24,R,Actual
2020-04-02T22:00:00.000+03:00,0,3.1,23,R,Actual
2020-04-02T23:00:00.000+03:00,0,1.9,22.3,R,Actual
2020-04-03T00:00:00.000+03:00,0,1.9,21,R,Actual
2020-04-03T01:00:00.000+03:00,0,1.9,20.7,R,Actual
2020-04-03T02:00:00.000+03:00,0,0.9,20.4,R,Actual
2020-04-03T03:00:00.000+03:00,0,1.1,20,R,Actual
2020-04-03T04:00:00.000+03:00,0,0.5,19.3,R,Actual
2020-04-03T05:00:00.000+03:00,0,0.9,18.9,R,Actual
2020-04-03T06:00:00.000+03:00,0,0.7,18,R,Actual
2020-04-03T07:00:00.000+03:00,1.8,1.2,19.3,R,Actual
2020-04-03T08:00:00.000+03:00,67.9,0.9,20.2,R,Actual
2020-04-03T09:00:00.000+03:00,134.3,0.4,22,R,Actual
2020-04-03T10:00:00.000+03:00,368.9,0.7,23,R,Actual
2020-04-03T11:00:00.000+03:00,418.2,2.7,23.7,R,Actual
2020-04-03T12:00:00.000+03:00,194.4,5.3,25,R,Actual
2020-04-03T13:00:00.000+03:00,102,4.2,25,R,Actual
2020-04-03T14:00:00.000+03:00,439.5,3.9,25,R,Actual
2020-04-03T15:00:00.000+03:00,863,6,25,R,Actual
2020-04-03T16:00:00.000+03:00,514.8,7.4,24.7,R,Actual
2020-04-03T17:00:00.000+03:00,640.1,9.3,24.4,R,Actual
2020-04-03T18:00:00.000+03:00,472,7.9,24,R,Actual
